qubitParentSlug,title,radGeneralMaterialDesignation,radOtherTitleInformation,levelOfDescription,identifier,extentAndMedium,scopeAndContent,language,accessConditions,alternativeIdentifiers,alternativeIdentifierLabels,eventDates,eventStartDates,eventEndDates
sorwuc-general,National Union Constitution,Textual record,,File,F1,0.3 cm of textual records,SORWUC's constitution including amendments and regulations that the union will uphold among it's members.,en,Open,1-1,Box File Number,1977-1982,1977-01-01,1982-12-31
sorwuc-general,History,Textual record,,File,F2,1 cm of textual records,"Detailed explanation of how SORWUC had been established, what the unions general purpose was, history of the union, and correspondence along with relations between the Canadian labor congress and SORWUC.",en,Open,1-2,Box File Number,1977-1982,1977-01-01,1979-12-31
sorwuc-general,Pamphlets (1 of 2),Textual record,,File,F3,2 cm of textual records,Quick announcements via pamphlets explaining how union's function and what they primarily aim to provide workers with.,en,Open,1-3,Box File Number,1980,1980-01-01,1980-12-31
sorwuc-general,Pamphlets (2 of 2),Textual record,,File,F4,2 cm of textual records,"Quick announcements via pamphlets explaining how union's function and what they primarily aim to provide workers with, as well as promotions for supporting the union.",en,Open,1-4,Box File Number,1980,1980-01-01,1981-12-31
sorwuc-general,Membership forms,Textual record,,File,F5,0.2 cm of textual records,"Forms indicating one's interest in being admitted to the service, office, & retail workers union of Canada.",en,Open,1-5,Box File Number,198-,1980-01-01,1989-12-31
sorwuc-general,Collective agreements,Textual record,,File,F6,2 cm of textual records,"Various collective agreements between different employers and SORWUC, along with descriptions of legal protection. Vancouver resources bard, OXFAM-Canada, Pooh Corner Day Care Society. ",en,Open,1-6,Box File Number,"August 1, 1977 - November 14, 1982",1977-08-01,1982-11-14
sorwuc-general,Collective agreements,Textual record,,File,F7,1 cm of textual records,Various collective agreements between different employers and SORWUC.,en,Open,1-7,Box File Number,"October 28, 1975 - May 31, 1983",1975-10-28,1983-05-31
sorwuc-general,Collective agreements,Textual record,,File,F8,2 cm of textual records,Various collective agreements between different employers and SORWUC.,en,Open,1-8,Box File Number,"December 1, 1976 - October 1, 1981",1976-12-01,1981-10-01
sorwuc-general,SORWUC Newsletters (1 of 2),Textual record,,File,F9,1 cm of textual records,Monthly and seasonal newsletters and pamphlets regarding various happenings within the SORWUC union and closely-tied communities.,en,Open,1-9,Box File Number,"1978 - October 31, 1981",1978-01-01,1981-10-31
sorwuc-general,SORWUC Newsletters (2 of 2),Textual record,,File,F10,1 cm of textual records,"Monthly and seasonal newsletters and pamphlets regarding various happenings within the SORWUC union and closely-tied communities, as well as discussing a special convention with it's proposed agenda.",en,Open,1-10,Box File Number,1982-1983,1982-01-01,1983-12-31
sorwuc-general,"SORWUC Bargaining Manual - Union Rights, Job Security (1 of 2)",Textual record,,File,F11,1 cm of textual records,"The SORWUC Bargaining manual ""A Guide to Writing Clauses and Negotiating Contracts"" with detailed sections regarding Union rights in the workplace, and job security upon joining the union.",en,Open,1-11,Box File Number,August 1983,1983-08-01,1983-08-31
sorwuc-general,"SORWUC Bargaining Manual - Working Conditions, Hours of Work, Compensation, Notes on Negotiation (2 of 2)",Textual record,,File,F12,1 cm of textual records,"The SORWUC Bargaining manual ""A Guide to Writing Clauses and Negotiating Contracts"" with detailed sections regarding working conditions, hours of work, and compensation.",en,Open,1-12,Box File Number,August 1983,1983-08-01,1983-08-31
sorwuc-general,SORWUC Handbook for Organizers,Textual record,,File,F13,1 cm of textual records,"A handbook outlining labor codes, community associations in practice, unfair labor practice, and summaries of talks from union organizers.",en,Open,1-13,Box File Number,"March 27, 1977",1977-03-27,1977-03-27
sorwuc-general,SORWUC Negotiating Handbook,Textual record,,File,F14,2 cm of textual records,"Extensive handbook giving detailed information on how to negotiate, compensation to ask for, language to use, and more.",en,Open,2-1,Box File Number,1980,1980-01-01,1980-12-31
sorwuc-general,SORWUC Shop Stewart handbook,Textual record,,File,F15,0.3 cm of textual records,,en,Open,2-2,Box File Number,198-,1980-01-01,1989-12-31
sorwuc-general,National Convention and Conferences,Textual record,,File,F16,0.5 cm of textual records,"Updated news presented to a collective group of members about individual Local groups, financial reports, conference pamphlets, and reports on conferences. The file includes 1984 National Convention program. ",en,Open,2-3,Box File Number,"March 29, 1982 - October 17, 1982, 1984",1982-03-29,1984-12-31
sorwuc-general,Labor Relations Act forms,Textual record,,File,F17,0.2 cm of textual records,Application to be certified before the Ontario Labor Relations Board. Application for Certification (form 1) and Declaration Concerning Membership Documents (form 9).,en,Open,2-4,Box File Number,1980,1980-01-01,1980-12-31
sorwuc-general,Stationary,Textual record,,File,F18,0.2 cm of textual records,SORWUC blank writing papers.,en,Open,2-5,Box File Number,198-,1980-01-01,1989-12-31
