legacyId,parentId,qubitParentSlug,title,radGeneralMaterialDesignation,radTitleStatementOfResponsibility,levelOfDescription,repository,identifier,extentAndMedium,scopeAndContent,acquisition,arrangement,language,locationOfOriginals,reproductionConditions,eventDates
,,test-csv-upload-satya-fonds,Alexa McDonough interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Alexa McDonough (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 54 sec.","Oral history interview with Alexa McDonough former leader of the NDP. Topics include: Government, Nova Scotia, New Democrats",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-10-02
,,test-csv-upload-satya-fonds,Alexa McDonough transcript,Textual record (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Alexa McDonough (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I2,1 textual record (doc) : 17  pages,"Transcript for oral history interview with Alexa McDonough former leader of the NDP. Topics include: Government, Nova Scotia, New Democrats",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-10-02
,,test-csv-upload-satya-fonds,Alia Hogben interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Alia Hogben (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 8 min., 12 sec.","Oral history interview with Alia Hogben the Executive Director of the Canadian Council of Muslim Women. Topics include: immigration, inter-cultural marriage, Muslim women, culture, religion, women in politics, media",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-06-06
,,test-csv-upload-satya-fonds,Alia Hogben transcript,Textual record (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Alia Hogben (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I2,1 textual record (doc) : 25 pages,"Transcript for oral history interview with Alia Hogben the Executive Director of the Canadian Council of Muslim Women. Topics include: immigration, inter-cultural marriage, Muslim women, culture, religion, women in politics, media",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-06-06
,,test-csv-upload-satya-fonds,Alison Reid interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Alison Reid (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) : 57 min., 44  sec.","Oral history interview with Alison Reid feminist activist (Whitehorse, YK).",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-07-12
,,test-csv-upload-satya-fonds,Amal Umar interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Amal Umar (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 14 min., 7  sec.","Oral history interview with Amal Umar feminist activist and immigrant women (Calgary, AB) ",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2009-06-29
,,test-csv-upload-satya-fonds,Andrea Lebowitz interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Andrea Lebowitz (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 30 min., 12 sec.",Oral history interview with Andrea Lebowitz feminist academic (Simon Fraser University),Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2009-07-21
,,test-csv-upload-satya-fonds,Angela James interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Angela James (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  43 min., 51 sec. ","Oral history interview with Angela James Dene Community school principal (N'dilo, NWT)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-07-29
,,test-csv-upload-satya-fonds,"Angela Miles, Barbara Hayes and Lucille Harper",Sound recording (electronic),"Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer), Angela Miles (interviewee),  Barbara Hayes (interviewee) and Lucille Harper (interviewee)",Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 46 min., 13 sec. ","Oral history interview with Angela Miles, Barbara Hayes and Lucille Harper feminist academic, organizer and director of women's centre (Antigonish, NS)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-06-21
,,test-csv-upload-satya-fonds,Anita Roberts interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Anita Roberts (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  59 min., 50 sec. ",Oral history interview with Anita Roberts feminist organizer (Vancouver British Columbia),Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2009-09-25
,,test-csv-upload-satya-fonds,Ann Sherman and Beverly Mills-Stetson interview,Sound recording (electronic),"Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer), Beverly Mills-Stetson (interviewee), and Ann Sherman (interviewee)",Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 18 min., 43 sec.","Oral history interview with Ann Sherman and Beverly Mills-Stetson two feminist activists (Charlottetown, PEI)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-06-28
,,test-csv-upload-satya-fonds,Anne Cole interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Anne Cole (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 5 min., 16 sec.","Oral history interview with Anne Cole  one of the first female land surveyors in Canada. Topics include: Non-traditional jobs, Sudbury, LEAF, motherhood, person's day breakfast.",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-08-26
,,test-csv-upload-satya-fonds,Anne Cole Transcript,Textual record (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Anne Cole (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I2,1 textual record (doc) : 20 pages,"Transcript for oral history interview with Anne Cole  one of the first female land surveyors in Canada. Topics include: Non-traditional jobs, Sudbury, LEAF, motherhood, person's day breakfast.",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2008-08-26
,,test-csv-upload-satya-fonds,Anne Crocker interview,Sound recording (electronic),Nancy's Very Own Foundation (creator): Bronwyn Bragg (interviewer) and Anne Crocker (interviewee),Item,Archives et collections spéciales/Archives and Special Collections,I1,"1 sound recording (wav) :  1 hr., 30 min., 52 sec. ","Oral history interview with Anne Crocker founder of transition house (Fredericton, NB)",Donor Nancy Ruth in accession in ACC-2012-21,Digital files were copied from a folder titled 'Complete Set' in a portable USB hard drive,en,ACC-2012-21-01 package in Ontario Library Research Cloud (OLRC),All rights remain with the University of Ottawa Library Archives and Special Collections. For copyright permissions contact Archives and Special Collections.,2010-06-24
